[2025-11-03 12:30:22] [INFO    ] discord.client: logging in using static token
[2025-11-03 12:30:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-03 12:30:22] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-03 12:30:22] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1432391707496026265', 'username': 'MetabeeBOT', 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376', 'discriminator': '9543', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd81487f3e541957868ce834f69a64033', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-03 12:30:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-03 12:30:23] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-03 12:30:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1432391707496026265', 'name': 'MetabeeBOT', 'icon': 'aac83d8eab26cb2da85c2fdaf867c376', 'description': '', 'type': None, 'bot': {'id': '1432391707496026265', 'username': 'MetabeeBOT', 'avatar': 'aac83d8eab26cb2da85c2fdaf867c376', 'discriminator': '9543', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd81487f3e541957868ce834f69a64033', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'bfadbb21ff30cdd3f70df1b0c43981f1ea8d93943f62bd93b8211ac86ee7ff86', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '497067650346909727', 'username': 'nearo_', 'avatar': '143de4d71e7c711f16b3866afba924ef', 'discriminator': '0', 'public_flags': 4194560, 'flags': 4194560, 'banner': None, 'accent_color': 8338201, 'global_name': 'nearo', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#7f3b19', 'clan': {'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'tag': 'osu!', 'badge': 'de1358870029aa9dae56e10c35a9c65d'}, 'primary_guild': {'identity_guild_id': '98226572468690944', 'identity_enabled': True, 'tag': 'osu!', 'badge': 'de1358870029aa9dae56e10c35a9c65d'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-g7gj",{"micros":0.0}]']}}
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-03 12:30:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
